,townships,sr,First_ts,First_sr,Township_Name_Eng,Tsp_Pcode,SR_Pcode,SR_Name_Eng,Township_Name_MMR
23,Mingalartaungnyunt Township,Yangon Region,Mingalartaungnyunt,Yangon,Mingalartaungnyunt,MMR013022,MMR013,Yangon,မင်္ဂလာတောင်ညွန့်
24,Amarapura Township,Mandalay Region,Amarapura,Mandalay,Amarapura,MMR010006,MMR010,Mandalay,အမရပူရ
25,Bahan Township,Yangon Region,Bahan,Yangon,Bahan,MMR013044,MMR013,Yangon,ဗဟန်း
26,Sittwe Township,Rakhine State,Sittwe,Rakhine,Sittwe,MMR012001,MMR012,Rakhine,စစ်တွေ
27,Mawlamyine Township,Mon State,Mawlamyine,Mon,Mawlamyine,MMR011001,MMR011,Mon,မော်လမြိုင်
28,Dala Township,Yangon Region,Dala,Yangon,Dala,MMR013030,MMR013,Yangon,ဒလ
29,Yankin Township,Yangon Region,Yankin,Yangon,Yankin,MMR013010,MMR013,Yangon,ရန်ကင်း
30,Lanmadaw Township,Yangon Region,Lanmadaw,Yangon,Lanmadaw,MMR013035,MMR013,Yangon,လမ်းမတော်
31,Dagon Myothit (Seikkan),Yangon Region,Dagon Myothit (Seikkan),Yangon,Dagon Myothit (Seikkan),MMR013021,MMR013,Yangon,ဒဂုံမြို့သစ် (ဆိပ်ကမ်း)
32,Botahtaung Township,Yangon Region,Botahtaung,Yangon,Botahtaung,MMR013017,MMR013,Yangon,ဗိုလ်တထောင်
33,Hlegu Township,Yangon Region,Hlegu,Yangon,Hlegu,MMR013004,MMR013,Yangon,လှည်းကူး
34,Dawbon Township,Yangon Region,Dawbon,Yangon,Dawbon,MMR013014,MMR013,Yangon,ဒေါပုံ
35,Ahlone Township,Yangon Region,Ahlone,Yangon,Ahlone,MMR013037,MMR013,Yangon,အလုံ
36,Pyigyitagon Township,Mandalay Region,Pyigyitagon,Mandalay,Pyigyitagon,MMR010005,MMR010,Mandalay,ပြည်ကြီးတံခွန်
